FIPS,AE_latent_1,AE_latent_2
1001,2.3226643,0.7035575
1003,4.6758127,1.7603694
1005,-0.12427899,-0.26216802
1007,0.6451478,-0.39219674
1009,1.0225477,-0.79537725
1013,0.73894846,0.43974048
1015,1.5537484,0.6859187
1017,0.5127697,0.56346893
1021,1.7597803,0.07596299
1023,0.13346952,-0.7783084
1025,-0.4316625,0.013011843
1031,3.735242,2.0142534
1033,2.8568,1.7053232
1035,0.40345335,-0.059756786
1039,0.82742083,0.37118906
1043,3.0322735,1.1478981
1045,1.2644702,0.9872725
1047,-0.608905,-0.41227207
1049,1.2649287,0.71160805
1051,2.7795162,0.9189007
1053,0.729072,0.46030182
1055,2.4702995,1.0737205
1059,0.05239551,0.21360695
1061,1.7861627,1.1047717
1069,2.568555,1.5577607
1071,1.8812776,0.5907117
1073,4.0300674,-0.17263713
1075,-0.00451779,0.5127835
1077,1.5368997,0.65043986
1081,4.90625,2.4127393
1083,4.250793,1.7545485
1087,2.9819121,1.4952785
1089,3.6630788,1.893147
1091,-0.102491826,-0.18546137
1093,0.58652645,0.2794879
1095,1.2486035,0.5965432
1097,2.074084,0.2574676
1099,0.8959793,0.51229304
1101,2.593347,1.5093077
1103,2.428975,1.1261626
1107,0.7442587,-0.6487094
1109,3.457398,2.2720828
1113,0.73492813,0.1648995
1115,2.7986965,0.55219215
1117,4.487954,1.3911295
1119,-0.07200062,0.39682177
1121,1.4076952,0.18210019
1123,2.1028447,0.9702244
1125,4.3798046,2.0211327
1127,0.7233074,-0.4180778
1129,0.67261726,-0.62928426
1131,-0.17767692,-0.3049521
1133,0.3864104,-0.04368359
2013,1.5282837,8.735765
2020,7.3126802,4.021195
2050,-8.333597,2.7762415
2070,-1.5964464,5.563062
2090,7.39394,4.1090827
2100,3.1229465,11.842514
2105,-8.566063,11.412962
2110,7.049688,4.326062
2122,8.910606,4.628463
2130,6.131835,4.2082253
2150,8.712244,6.4879637
2158,-13.238343,5.0428
2170,6.5392537,1.5083122
2180,-9.888257,6.5303445
2185,-5.0814567,2.43123
2188,-8.506621,1.5137029
2198,2.6099315,7.580901
2220,6.7917747,5.0703235
2240,6.2859755,5.233949
2290,-9.075339,10.061985
4001,-0.120890856,-0.5757656
4003,1.1791142,0.7624203
4005,4.020735,2.5114625
4007,1.6678513,1.2264009
4009,1.3028325,1.0072503
4012,3.0711262,3.592603
4013,10.015852,-15.642172
4015,2.8647258,1.8761163
4017,0.62548274,0.21687734
4019,3.0759015,-3.3580768
