FIPS,AE_latent_1,AE_latent_2,AE_latent_3
1001,0.10172996,1.5186656,-0.3984035
1003,0.10837263,2.272076,-1.1429834
1005,0.5294988,1.006515,-0.20882219
1007,0.20093992,0.9922569,0.37097448
1009,-0.44628537,1.1754823,0.81717294
1013,0.38322347,0.9857247,-0.33801526
1015,0.34766442,1.354171,-0.6502125
1017,0.37140352,0.9231944,-0.4846512
1021,0.027012497,1.398968,0.0447039
1023,0.78792393,1.0132467,0.48237783
1025,0.82518536,0.79260755,-0.23352927
1031,0.46989185,1.7320809,-1.1354535
1033,0.5207569,1.4726305,-1.0100498
1035,0.62840533,0.8698791,0.023181856
1039,0.25045046,1.0770642,-0.34072787
1043,0.31926173,1.6848185,-0.68790865
1045,0.29747954,1.0505791,-0.61546755
1047,0.9536696,1.2300305,0.14055485
1049,0.5006775,1.0879979,-0.5113659
1051,0.22298667,1.6337459,-0.5067218
1053,0.16574973,0.97642136,-0.32007462
1055,0.19444898,1.521466,-0.6741679
1059,0.65862703,0.62668586,-0.017139494
1061,1.2634943,1.3940325,-0.76985514
1069,0.47672313,1.5273187,-1.1089745
1071,0.32912958,1.4243629,-0.4698023
1073,-0.78232384,2.4859269,-1.599576
1075,0.8885631,0.71417665,-0.21753144
1077,0.48964667,1.2699292,-0.53787994
1081,0.086215675,2.3178346,-1.6848428
1083,0.2562766,2.0254557,-0.973507
1087,0.72970706,1.8869438,-1.2663558
1089,-0.17496634,1.9168117,-1.336203
1091,0.6243922,1.0560211,-0.341801
1093,0.23521653,0.8871949,-0.11663759
1095,0.545284,1.1415381,-0.51434505
1097,-0.38251635,1.7840226,-0.8632373
1099,0.7293894,0.95748925,-0.384557
1101,0.013890028,1.6446209,-1.1977403
1103,0.16576344,1.5053229,-0.71274817
1107,0.43262482,1.5164382,-0.05314976
1109,0.8236478,1.6076446,-1.4221272
1113,0.39555293,1.2437172,-0.43824077
1115,0.26500267,1.7397869,-0.34672213
1117,0.28944397,2.2599528,-0.9104371
1119,0.85452217,0.88188314,-0.569226
1121,-0.084664114,1.4853485,-0.35849828
1123,0.33735806,1.4253972,-0.64524364
1125,0.048756182,2.2658722,-1.5420527
1127,-0.011782587,1.1968354,0.19673151
1129,0.35180312,0.95808387,0.60595006
1131,0.9117022,1.0002515,-0.094114006
1133,0.3829323,0.782954,0.14935225
2013,7.16727,2.6512778,-3.5946112
2020,0.64780605,2.8205845,-2.4882703
2050,11.95159,5.8511934,0.79020745
2070,8.512079,4.329587,-1.7881215
2090,0.870099,2.7010262,-2.3623252
2100,7.047917,1.5326097,-4.172886
2105,13.207489,2.4496775,-2.169906
2110,1.4142745,2.6186805,-2.8739738
2122,1.8213449,3.2329938,-2.9473393
2130,1.7815931,2.3505948,-2.843108
2150,2.507969,2.763338,-3.8303356
2158,18.657055,6.685378,3.809195
2170,0.24781442,3.2083209,-1.0452558
2180,14.070185,4.719553,0.5736937
2185,7.6020427,3.7273905,-0.25099963
2188,11.489769,5.435465,2.2271166
2198,4.6402707,1.5485449,-3.358058
2220,2.1757808,2.5154593,-3.2542393
2240,2.3567088,2.3345273,-2.8910296
2290,13.464012,2.8555012,-1.0903618
4001,0.3560562,1.4650233,-0.1510418
4003,-0.011051953,1.1141005,-0.52448535
4005,0.29693556,1.8719976,-1.6451262
4007,0.36089087,1.1884437,-0.8060522
4009,0.46080595,1.0156584,-0.6010197
4012,1.5542314,0.99666834,-1.885915
4013,-8.317643,5.202285,-3.2666738
4015,-0.24181646,1.543261,-1.2211442
4017,0.0027072877,1.2529763,-0.5269481
4019,-2.1329415,2.2940702,-1.3618258
4021,-0.95732254,1.5722454,0.08170277
4023,0.08681944,0.28736675,0.22783715
4025,-0.120191276,1.991647,-1.2474458
4027,-0.09849685,0.8336215,-0.5351913
5001,0.7646396,0.45324254,-0.67485726
5005,0.6463165,1.1774144,-1.1281004
5007,0.3052445,1.3845048,-1.0420425
5009,0.5526658,1.0229704,-0.8979555
5015,0.98877937,1.0148598,-0.87871814
5021,0.8381322,0.42950392,-0.2128045
5023,0.5219253,1.0941525,-0.3056419
5027,0.39478558,0.9783498,-0.5929122
5031,0.4397611,0.94851387,-0.9290292
5033,0.1672402,0.96439195,-0.32463783
5035,0.4601792,0.87611294,-0.50062734
5037,0.58973,0.42107952,0.10267991
5041,1.6842546,0.805323,-0.52047956
5045,-0.1067727,1.3574178,-0.51471734
5047,0.37368715,0.65590525,-0.25713164
5051,0.21225649,1.2331653,-0.8858138
5055,0.23306668,0.70362806,-0.29431313
5057,0.5980693,0.9250605,-0.7422227
5059,0.024631023,0.77820206,0.42484874
5063,0.6093254,0.8079457,-0.8259145
5065,0.5926529,1.122917,-0.24511796
5069,0.69887346,0.53695047,-0.296673
5083,0.1644283,0.7421211,0.12209147
5085,-0.03487423,1.3323047,-0.054228365
5089,0.5747989,1.2463241,-0.49017972
5091,0.47445166,0.9965825,-0.8816283
5093,0.69997793,0.5816153,-0.5842015
5095,1.8263142,0.4874699,1.0558953
5101,0.99243754,0.9997951,0.360282
5103,0.8866883,0.6096345,-0.48124635
5107,1.348865,0.81049466,-0.16660279
5109,1.0428419,0.82164514,0.11792487
5111,0.49305063,0.36704922,0.04845792
5115,0.23414227,0.9152851,-0.73964286
5117,1.3167424,0.9898455,-0.4943427
5119,-0.55675596,1.7821853,-1.4224603
5121,0.79372346,0.5761564,-0.28422034
5123,0.6229167,0.45422053,-0.021021426
5125,0.14904219,1.5145328,-0.67360824
5131,0.24156833,0.92423034,-0.8909395
5133,0.521194,0.9539112,-0.3379172
5135,0.53302306,0.8672061,-0.027989864
5139,0.2586716,0.9232023,-0.742615
5141,0.18821034,1.1665578,0.3724237
5143,0.04926324,1.5751035,-1.2557863
5145,0.21391913,0.92150474,-0.52968305
5147,2.2272696,0.7115307,-0.298779
5149,0.4893378,0.51761293,-0.3320855
6001,-1.4781644,3.5827067,-1.9139397
6005,1.1062577,2.6058962,-0.9491402
6007,0.41930497,2.171298,-1.7884382
6009,1.0772417,3.001077,-1.2056707
6011,1.385577,1.7235141,-1.3022033
6013,-0.88677,3.2576137,-1.1677333
6015,0.75181633,1.66013,-1.4915397
6017,0.7843161,3.3966582,-2.013589
6019,-1.0459797,1.9182692,-1.2528077
6021,0.7627745,1.0960151,-0.7461333
6023,1.366888,2.6031342,-2.5571718
6025,0.0011241585,0.5404513,-0.2172473
6027,1.0423062,0.9831431,-1.4213105
6029,-1.1066664,1.8281419,-1.0899775
6031,0.6744582,0.999761,-0.692325
6033,1.3553598,2.1566293,-0.8331758
6035,1.2644248,2.0294218,-1.9503419
6037,-19.582186,10.684752,-6.8895764
6039,0.5413832,2.337189,-1.1839828
6041,1.479748,4.1104364,-2.9221075
6043,0.9774428,2.2191734,-0.63261974
6045,2.091743,2.0910668,-2.0911555
6047,0.17051992,1.4771049,-0.036277354
6049,2.541863,1.7838118,-1.887012
6051,2.1749027,2.0609596,-2.501761
6053,0.31964213,1.8302681,-1.1252024
6055,1.3360157,2.9504468,-2.1897783
6057,1.6382124,3.6668394,-2.971659
6059,-4.55971,4.2773285,-2.6654527
6061,0.2940964,2.898313,-1.6736989
6063,2.6758761,1.7250595,-2.1402464
6065,-3.708572,3.0689738,-0.89756876
6067,-1.9187188,2.7734668,-1.5329136
6069,0.55348516,3.0486252,-0.8392063
6071,-3.5170166,2.703275,-0.71822757
6073,-4.476025,4.0263453,-2.6119974
6075,4.831928,5.2868032,0.6145355
6077,-0.47329104,2.1221352,-0.3286907
6079,0.63649225,2.8674915,-2.2758014
6081,0.41979617,3.3554037,-2.2525256
6083,0.3813023,1.9202149,-1.6931839
6085,-1.4380407,3.5034707,-2.1704462
6087,1.0257998,3.5483553,-2.5425966
6089,0.79243964,1.8604882,-1.7326128
6093,1.3201053,1.5597572,-1.478148
6095,-0.19350149,2.014346,-0.5570693
6097,0.75103766,3.1284,-2.2830431
6099,-0.26416758,2.0725818,-0.67888266
6101,0.53222114,1.4067092,-0.5532842
6103,0.4776144,1.4515507,-0.9029942
6105,2.2771344,1.5012462,-1.1504703
6107,0.144754,1.3646739,-0.8596511
6109,1.0741987,2.328139,-1.1078088
6111,-0.3213886,2.426441,-1.4690304
6113,0.2710058,2.0801885,-1.3772241
6115,0.08109778,1.1640787,0.3479789
8001,-0.49796307,1.8640335,-0.4950069
8003,1.276298,2.1989865,-2.42513
8005,-0.36022484,2.24528,-1.0853668
8013,0.32925063,3.0281467,-2.3515267
8014,0.49907547,2.3855512,-1.3845353
8015,1.9584961,1.248467,-1.7253609
8021,1.697963,1.9604118,-1.6577175
8029,0.68802536,1.405462,-0.83821714
8031,-0.8997695,2.7738445,-1.7190661
8035,0.20825702,2.5420554,-1.3173352
8037,1.531888,2.6484873,-2.2629359
8041,-0.5982376,2.122418,-1.286566
8043,0.22196585,1.4259026,-0.64664596
8045,0.36507547,1.9948466,-0.51507294
8049,1.5521853,3.0084717,-2.292401
8051,1.2599251,1.2483191,-1.2810266
8055,1.7976942,1.0534644,-1.2283046
8059,-0.22502315,2.5476296,-1.422975
8063,1.7260325,0.59018147,-1.2670584
8067,1.2107642,2.553538,-2.258529
8069,-0.27030134,2.4819944,-1.646515
8071,1.1315022,1.0582857,-1.1759818
8077,0.35189682,1.624815,-1.4683194
8083,1.166604,1.3951733,-1.352086
8085,0.93706185,1.8503194,-1.552959
8087,0.63092285,0.83274126,-0.4662261
8091,4.9046445,1.1582596,-1.787344
8093,0.8292516,3.0827048,-0.7419852
8095,2.7888803,0.48289847,-1.200819
8097,1.5338526,2.9192274,-2.663415
8101,-0.09642947,1.3105454,-0.8066852
8107,1.9217257,2.883042,-2.7411482
8109,3.1285276,0.79129994,-1.7882385
8113,3.5082111,1.2403816,-2.0789304
8117,1.833257,3.0593016,-2.7851613
8119,0.6156732,1.8169925,-0.38580403
8123,-0.17973006,2.0285761,-0.77695835
8125,1.3130965,0.71500444,-1.3451254
10001,0.092125714,1.197014,-0.33244175
10003,-0.2562561,2.156197,-1.2533488
10005,0.25001693,1.9397788,-0.8914771
11001,4.794302,5.3135805,1.6202297
12001,-0.47051948,2.5078204,-1.870414
12003,0.13753897,1.0418847,0.18763155
12005,0.42493522,1.7241299,-1.094621
12007,-0.07998636,1.2051274,0.3449989
12009,-0.5498258,2.3227665,-1.3100517
12011,-3.5482073,3.9947078,-2.2982862
12015,0.049419403,2.034618,-0.9353247
12017,-0.061305135,1.8533132,-0.70496595
12019,-0.119626686,1.7983801,-0.28257924
12021,-0.010163605,2.796664,-1.7056189
12023,0.21753144,1.2054204,-0.40685487
12027,0.21211672,1.1808385,0.09980482
12029,0.69974494,1.2060404,-0.84823674
12031,-1.5264542,2.4889963,-1.5515406
12033,-0.14735386,1.6476038,-0.99160147
12035,0.39237338,2.1868284,-1.0619044
12037,2.1403475,1.0860996,-1.5219376
12039,0.13859957,1.0258025,0.508226
12041,0.21919405,1.2841504,0.10596037
12049,0.50926435,0.6815592,0.072175324
12051,0.35673535,0.78104115,0.4616974
12053,-0.19846272,1.6572492,-0.17002958
12055,0.21655971,1.5523217,-0.89716095
12057,-2.3528175,3.1403978,-1.6614729
12059,-0.11551416,0.8548565,0.8807704
12061,0.576289,2.124831,-1.4619055
12063,0.33067203,1.213429,-0.26284033
12069,-0.37614322,2.0168254,-0.5890602
12071,-1.4254532,2.8094957,-1.3332602
12073,-0.35988134,2.2856376,-1.7319798
12075,0.5719581,1.2382642,-0.038403094
12079,0.48855287,1.156976,-0.031664014
12081,-0.21226358,2.4100177,-1.2279873
12083,-0.49507982,1.9129803,-0.8673284
12085,0.66655177,2.608491,-1.4151297
12086,-4.380306,4.4407797,-2.4873812
12087,1.991133,2.7062125,-2.7446322
12089,0.32578003,2.3780396,-0.90138316
12091,0.21724391,1.9174769,-0.93140745
12093,0.7990003,1.1759372,-0.26002723
12095,-2.2701137,3.1285172,-1.724395
12097,-0.61480355,1.8874166,0.061956882
12099,-2.3338783,3.8488452,-2.3596594
12101,-0.91708547,2.3618014,-0.7639737
12103,-1.4799654,3.0778117,-1.951694
12105,-1.3649719,2.25858,-0.7102709
12107,0.08266118,1.2825272,-0.059978366
12109,0.29539895,2.7848065,-1.5842807
12111,-0.25500366,1.9101923,-0.62371296
12113,0.0602504,2.1258736,-0.6595304
12115,-0.03392893,2.852514,-1.9321563
12117,-0.13713121,2.3696387,-1.2549095
12119,0.24829364,2.1573474,-0.83688444
12121,0.16856846,1.0898834,0.043816388
12123,0.5674402,0.772177,-0.59928095
12127,-0.6895,2.2773778,-1.0596514
12131,0.6007038,2.6722395,-1.280036
12133,-0.32496595,0.91127324,1.0356107
13001,0.29142687,0.8821671,-0.029339433
13005,0.75290036,0.7262156,-0.09314972
13009,0.37938815,1.4924281,-0.7249551
13013,0.11744234,1.9669659,-0.20960337
13015,0.22692794,1.6336346,-0.40127748
13019,0.5447716,1.2927167,-0.6497805
13021,0.5165877,1.2476232,-0.84013784
13027,0.66388196,1.3265841,-0.7152432
