FIPS,AE_latent_1,AE_latent_2,AE_latent_3,AE_latent_4
1001,1.0319304,2.6094005,2.767118,-1.1791048
1003,1.3480161,3.5159483,3.9684155,-0.87937725
1005,0.596781,2.3720627,3.5864024,-1.9717494
1007,0.64976877,1.4542358,1.958902,-1.1334164
1009,0.2055404,1.0656518,0.9065977,-0.4738147
1013,1.0601473,2.6171513,2.922861,-1.8637522
1015,1.0466022,2.9982502,3.6009068,-1.7328204
1017,1.0138173,2.9500754,3.2772017,-2.1843526
1021,0.93448555,1.935452,1.9663613,-0.8075515
1023,0.49736923,1.04706,2.7818782,-1.2472988
1025,0.66399527,2.48236,3.8970208,-2.3851373
1031,1.5991338,3.5447416,4.0139933,-1.6250283
1033,1.5265002,3.4240985,3.849782,-1.8321165
1035,1.0009022,1.8509629,2.6637423,-1.5969995
1039,0.94101906,2.6766393,2.9316103,-1.7842551
1043,1.3201952,2.867693,3.2750418,-1.168872
1045,1.171812,3.1553464,3.211927,-2.0728183
1047,0.24821259,2.590685,4.1154537,-2.3123503
1049,1.2829012,2.7296357,3.0259275,-1.7385229
1051,1.201222,2.6658149,2.9886754,-1.0978432
1053,0.9570787,2.757205,2.7203252,-1.8730437
1055,1.1756892,3.0606484,3.2804453,-1.4652021
1059,0.8669866,2.1310642,2.9050975,-2.069933
1061,1.5603709,2.445005,4.286164,-1.6257187
1069,1.3315823,3.6380491,4.3454905,-2.0121002
1071,1.0847826,2.6217384,3.1252317,-1.3704938
1073,0.4460349,4.9781294,4.961437,-1.3687363
1075,1.2166507,2.1786737,3.0793571,-2.0068963
1077,1.1941323,2.6993842,3.2929676,-1.6125411
1081,1.3962629,4.5172777,4.9608316,-1.4968119
1083,1.4193583,3.2692618,3.762328,-1.1015607
1087,1.3129432,3.568151,5.294283,-1.9125286
1089,1.1833599,4.3035493,4.094627,-1.6134871
1091,0.73502636,2.495659,3.785994,-2.0122483
1093,1.058361,2.3814516,2.2789507,-1.6784254
1095,1.2523834,2.653482,3.1414478,-1.667807
1097,0.568746,3.667828,3.5835896,-1.3802335
1099,1.3546611,2.3721778,2.954707,-1.7466332
1101,1.0562172,4.103793,4.253358,-1.9702939
1103,1.1552637,3.1699572,3.3542697,-1.556295
1107,0.7329202,1.716316,3.0972335,-0.96113896
1109,1.7750127,3.8474586,4.785234,-2.1166124
1113,0.8381657,2.7203667,3.5289156,-1.7698797
1115,1.1258378,2.2487648,2.7876513,-0.7411252
1117,1.3605068,2.960219,3.7468493,-0.62653863
1119,1.0594683,2.8214579,4.020947,-2.3864388
1121,0.64568436,2.7417285,3.012245,-1.3664744
1123,1.1605617,2.978968,3.4689517,-1.6425565
