FIPS,State,"County, State",Year,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall,State_count,County,GROC16,GROC20,PCH_GROC_16_20,GROCPTH16,GROCPTH20,PCH_GROCPTH_16_20,GEO_ID,NAME,Total_Households,Total_Below_Poverty,SNAP_Total_Households,SNAP_Below_Poverty,SNAP_Participation_Rate_Pct,No_SNAP_Total_Households,No_SNAP_Below_Poverty_Gap,Name,Median_Household_Income,Median_Income_Lower_Bound,Median_Income_Upper_Bound,mean_commute_time,pct_households_no_vehicle,poverty_rate,total_population,land_area_sqmi,population_density,state_abbr,min_wage_2023,diabetes_rate,obesity_rate,FIPS_match,YEAR,BENE_GEO_DESC,BENE_GEO_CD,BENE_AGE_LVL,BENES_TOTAL_CNT,BENE_AVG_AGE,BENE_AVG_RISK_SCRE,TOT_MDCR_PYMT_PC,TOT_MDCR_STDZD_PYMT_PC
1001,AL,"Autauga County, Alabama",2023,3.64,22.72,6183000.0,AL,Autauga,3.0,4.0,33.33333333333333,0.0542475841939449,0.0712440982460975,31.33137503669661,1001,"Autauga County, Alabama",22917,2287,2116,796,9.2,20801,1491,Autauga County,68857.0,62667.0,75047.0,27.9,0.0413230353013047,11.3,59947,594.455,100.84362987946942,AL,7.25,10.7,38.9,1001,2023,AL-Autauga,1001.0,All,12391,72,0.98,11307.49,12193.99
1003,AL,"Baldwin County, Alabama",2023,4.01,25.07,26995000.0,AL,Baldwin,29.0,29.0,0.0,0.1395660042762756,0.1264790445566177,-9.37689646380634,1003,"Baldwin County, Alabama",98574,10666,6568,2985,6.7,92006,7681,Baldwin County,74248.0,69046.0,79450.0,27.0,0.0268224886887008,10.1,246989,1589.863,155.35237941885558,AL,7.25,9.8,37.2,1003,2023,AL-Baldwin,1003.0,All,64196,74,0.95,11835.96,12513.63
1005,AL,"Barbour County, Alabama",2023,3.45,21.56,3186000.0,AL,Barbour,4.0,5.0,25.0,0.1548706889152527,0.2033429592847824,31.29854377806403,1005,"Barbour County, Alabama",9128,2049,1943,1043,21.3,7185,1006,Barbour County,45298.0,40531.0,50065.0,27.1,0.104951796669588,21.4,24643,885.008,27.84494603438613,AL,7.25,15.6,43.4,1005,2023,AL-Barbour,1005.0,All,6505,72,1.03,13501.4,14321.81
1007,AL,"Bibb County, Alabama",2023,3.36,21.0,2720000.0,AL,Bibb,5.0,4.0,-20.0,0.2213368713855743,0.1807011216878891,-18.35923199027095,1007,"Bibb County, Alabama",7704,1650,1592,1163,20.7,6112,487,Bibb County,56025.0,49463.0,62587.0,31.7,0.0542575285565939,22.5,22130,622.47,35.55191414847302,AL,7.25,12.4,39.6,1007,2023,AL-Bibb,1007.0,All,4955,71,1.13,12414.88,13048.81
1009,AL,"Blount County, Alabama",2023,3.36,20.98,6541000.0,AL,Blount,5.0,4.0,-20.0,0.0869761854410171,0.0691096931695938,-20.54182093734094,1009,"Blount County, Alabama",22180,3243,2731,1499,12.3,19449,1744,Blount County,64962.0,59013.0,70911.0,35.8,0.0404418394950405,12.9,59518,644.891,92.29156555138776,AL,7.25,10.5,37.7,1009,2023,AL-Blount,1009.0,All,13429,73,1.02,12490.84,13254.69
1011,AL,"Bullock County, Alabama",2023,3.77,23.55,1379000.0,AL,Bullock,3.0,,,0.288544774055481,,,1011,"Bullock County, Alabama",3688,1258,1255,646,34.0,2433,612,Bullock County,36204.0,31398.0,41010.0,31.8,0.0995119305856832,33.3,10058,622.815,16.149257805287284,AL,7.25,18.7,48.9,1011,2023,AL-Bullock,1011.0,All,2432,72,1.17,13568.37,14896.84
1013,AL,"Butler County, Alabama",2023,3.39,21.19,2230000.0,AL,Butler,3.0,3.0,0.0,0.1497005969285965,0.153814598917961,2.748153363294148,1013,"Butler County, Alabama",7597,1567,1312,728,17.3,6285,839,Butler County,44729.0,40192.0,49266.0,25.0,0.0593655390285639,22.4,18630,776.839,23.98180317929455,AL,7.25,14.0,42.0,1013,2023,AL-Butler,1013.0,All,5221,73,1.01,11359.14,12283.78
1015,AL,"Calhoun County, Alabama",2023,3.57,22.32,14639000.0,AL,Calhoun,27.0,21.0,-22.22222222222222,0.2347091287374495,0.1850725710391998,-21.14811552718696,1015,"Calhoun County, Alabama",45015,8233,8057,4018,17.9,36958,4215,Calhoun County,51841.0,48155.0,55527.0,25.2,0.0638675996889925,17.9,116090,605.89,191.6024360857581,AL,7.25,12.0,38.9,1015,2023,AL-Calhoun,1015.0,All,28769,72,1.07,12302.31,13300.19
1017,AL,"Chambers County, Alabama",2023,3.36,20.99,3808000.0,AL,Chambers,7.0,5.0,-28.57142857142857,0.2074565887451171,0.1521375328302382,-26.6653646671325,1017,"Chambers County, Alabama",13434,2537,2184,1103,16.3,11250,1434,Chambers County,50390.0,44560.0,56220.0,23.1,0.0731725472681256,15.7,34192,596.554,57.315850702534895,AL,7.25,13.4,43.9,1017,2023,AL-Chambers,1017.0,All,9361,72,1.07,11122.9,11894.34
1019,AL,"Cherokee County, Alabama",2023,3.39,21.21,2837000.0,AL,Cherokee,5.0,,,0.1940315812826156,,,1019,"Cherokee County, Alabama",10192,1578,1121,534,11.0,9071,1044,Cherokee County,56400.0,50628.0,62172.0,30.5,0.0277668759811616,14.8,25443,553.524,45.96548659136731,AL,7.25,11.1,37.8,1019,2023,AL-Cherokee,1019.0,All,7977,72,1.06,12506.75,13057.58
1021,AL,"Chilton County, Alabama",2023,3.55,22.19,5229000.0,AL,Chilton,5.0,4.0,-20.0,0.1140146851539612,0.0900961756706237,-20.978446286141768,1021,"Chilton County, Alabama",17875,2584,2613,1490,14.6,15262,1094,Chilton County,59165.0,55581.0,62749.0,31.0,0.0263496503496503,14.0,45992,692.837,66.38213605797613,AL,7.25,11.5,42.3,1021,2023,AL-Chilton,1021.0,All,10406,72,1.02,12964.64,13793.8
1023,AL,"Choctaw County, Alabama",2023,3.42,21.34,1528000.0,AL,Choctaw,3.0,4.0,33.33333333333333,0.2299026697874068,0.3221130669116973,40.10844989732318,1023,"Choctaw County, Alabama",5255,1037,823,466,15.7,4432,571,Choctaw County,47432.0,41597.0,53267.0,33.6,0.0875356803044719,16.5,12380,913.479,13.552583036938998,AL,7.25,14.4,44.7,1023,2023,AL-Choctaw,1023.0,All,3959,72,1.05,13387.2,14347.3
1025,AL,"Clarke County, Alabama",2023,3.35,20.94,2852000.0,AL,Clarke,6.0,6.0,0.0,0.246487557888031,0.2576102316379547,4.512468639482513,1025,"Clarke County, Alabama",8423,1728,1983,821,23.5,6440,907,Clarke County,50868.0,44973.0,56763.0,25.1,0.1162293719577347,20.1,22543,1238.42,18.20303289675554,AL,7.25,14.3,43.4,1025,2023,AL-Clarke,1025.0,All,6662,72,0.98,11286.96,12092.79
1027,AL,"Clay County, Alabama",2023,3.39,21.21,1640000.0,AL,Clay,3.0,,,0.2239976078271866,,,1027,"Clay County, Alabama",5820,1083,828,508,14.2,4992,575,Clay County,52077.0,45838.0,58316.0,28.5,0.0582474226804123,17.6,14192,603.962,23.49816710322835,AL,7.25,11.9,41.6,1027,2023,AL-Clay,1027.0,All,3847,73,0.94,10402.61,11148.66
