FIPS,State,"County, State",Year,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall,FIPS_match,FIPS_count,State_count,County,GROC16,GROC20,PCH_GROC_16_20,GROCPTH16,GROCPTH20,PCH_GROCPTH_16_20,GEO_ID,NAME,Total_Households,Total_Below_Poverty,SNAP_Total_Households,SNAP_Below_Poverty,SNAP_Participation_Rate_Pct,No_SNAP_Total_Households,No_SNAP_Below_Poverty_Gap,FIPS_count,Name,Median_Household_Income,Median_Income_Lower_Bound,Median_Income_Upper_Bound,county_fips,mean_commute_time,pct_households_no_vehicle,county_fips_acs_p,poverty_rate,county_fips_censu,total_population,land_area_sqmi,population_density,fips,state_abbr,min_wage_2023
1001,AL,"Autauga County, Alabama",2023,3.64,22.72,6183000.0,1001,1001,AL,Autauga,3.0,4.0,33.33333333333333,0.0542475841939449,0.0712440982460975,31.33137503669661,1001,"Autauga County, Alabama",22917,2287,2116,796,9.2,20801,1491,1001,Autauga County,68857.0,62667.0,75047.0,1001,27.9,0.0413230353013047,1001,11.3,1001,59947,594.455,100.84362987946942,1001,AL,7.25
1003,AL,"Baldwin County, Alabama",2023,4.01,25.07,26995000.0,1003,1003,AL,Baldwin,29.0,29.0,0.0,0.1395660042762756,0.1264790445566177,-9.37689646380634,1003,"Baldwin County, Alabama",98574,10666,6568,2985,6.7,92006,7681,1003,Baldwin County,74248.0,69046.0,79450.0,1003,27.0,0.0268224886887008,1003,10.1,1003,246989,1589.863,155.35237941885558,1003,AL,7.25
1005,AL,"Barbour County, Alabama",2023,3.45,21.56,3186000.0,1005,1005,AL,Barbour,4.0,5.0,25.0,0.1548706889152527,0.2033429592847824,31.29854377806403,1005,"Barbour County, Alabama",9128,2049,1943,1043,21.3,7185,1006,1005,Barbour County,45298.0,40531.0,50065.0,1005,27.1,0.104951796669588,1005,21.4,1005,24643,885.008,27.84494603438613,1005,AL,7.25
1007,AL,"Bibb County, Alabama",2023,3.36,21.0,2720000.0,1007,1007,AL,Bibb,5.0,4.0,-20.0,0.2213368713855743,0.1807011216878891,-18.35923199027095,1007,"Bibb County, Alabama",7704,1650,1592,1163,20.7,6112,487,1007,Bibb County,56025.0,49463.0,62587.0,1007,31.7,0.0542575285565939,1007,22.5,1007,22130,622.47,35.55191414847302,1007,AL,7.25
1009,AL,"Blount County, Alabama",2023,3.36,20.98,6541000.0,1009,1009,AL,Blount,5.0,4.0,-20.0,0.0869761854410171,0.0691096931695938,-20.54182093734094,1009,"Blount County, Alabama",22180,3243,2731,1499,12.3,19449,1744,1009,Blount County,64962.0,59013.0,70911.0,1009,35.8,0.0404418394950405,1009,12.9,1009,59518,644.891,92.29156555138776,1009,AL,7.25
1011,AL,"Bullock County, Alabama",2023,3.77,23.55,1379000.0,1011,1011,AL,Bullock,3.0,,,0.288544774055481,,,1011,"Bullock County, Alabama",3688,1258,1255,646,34.0,2433,612,1011,Bullock County,36204.0,31398.0,41010.0,1011,31.8,0.0995119305856832,1011,33.3,1011,10058,622.815,16.149257805287284,1011,AL,7.25
1013,AL,"Butler County, Alabama",2023,3.39,21.19,2230000.0,1013,1013,AL,Butler,3.0,3.0,0.0,0.1497005969285965,0.153814598917961,2.748153363294148,1013,"Butler County, Alabama",7597,1567,1312,728,17.3,6285,839,1013,Butler County,44729.0,40192.0,49266.0,1013,25.0,0.0593655390285639,1013,22.4,1013,18630,776.839,23.98180317929455,1013,AL,7.25
1015,AL,"Calhoun County, Alabama",2023,3.57,22.32,14639000.0,1015,1015,AL,Calhoun,27.0,21.0,-22.22222222222222,0.2347091287374495,0.1850725710391998,-21.14811552718696,1015,"Calhoun County, Alabama",45015,8233,8057,4018,17.9,36958,4215,1015,Calhoun County,51841.0,48155.0,55527.0,1015,25.2,0.0638675996889925,1015,17.9,1015,116090,605.89,191.60243608575811,1015,AL,7.25
1017,AL,"Chambers County, Alabama",2023,3.36,20.99,3808000.0,1017,1017,AL,Chambers,7.0,5.0,-28.57142857142857,0.2074565887451171,0.1521375328302382,-26.6653646671325,1017,"Chambers County, Alabama",13434,2537,2184,1103,16.3,11250,1434,1017,Chambers County,50390.0,44560.0,56220.0,1017,23.1,0.0731725472681256,1017,15.7,1017,34192,596.554,57.315850702534895,1017,AL,7.25
1019,AL,"Cherokee County, Alabama",2023,3.39,21.21,2837000.0,1019,1019,AL,Cherokee,5.0,,,0.1940315812826156,,,1019,"Cherokee County, Alabama",10192,1578,1121,534,11.0,9071,1044,1019,Cherokee County,56400.0,50628.0,62172.0,1019,30.5,0.0277668759811616,1019,14.8,1019,25443,553.524,45.96548659136731,1019,AL,7.25
