county_fips,poverty_rate
01001,11.3
01003,10.1
01005,21.4
01007,22.5
01009,12.9
01011,33.3
01013,22.4
01015,17.9
01017,15.7
01019,14.8
01021,14.0
01023,16.5
01025,20.1
01027,17.6
01029,13.7
01031,16.7
01033,17.4
01035,27.8
01037,13.1
01039,19.2
01041,17.9
01043,15.3
01045,18.7
01047,31.0
01049,22.4
01051,10.3
01053,20.0
01055,16.9
01057,21.8
01059,19.1
01061,19.2
01063,40.1
01065,24.6
01067,18.3
01069,17.5
01071,17.3
01073,15.7
01075,18.0
01077,12.2
01079,13.3
01081,18.9
01083,10.0
01085,29.9
01087,24.3
01089,10.1
01091,21.9
01093,16.2
01095,16.6
01097,16.2
01099,20.1
01101,19.9
01103,13.5
01105,31.4
01107,20.0
01109,23.3
01111,19.9
01113,22.2
01115,11.4
01117,7.2
01119,26.5
01121,17.8
01123,16.3
01125,16.8
01127,18.5
01129,17.1
01131,28.2
01133,18.7
02013,13.2
02016,11.3
02020,8.9
02050,25.6
02060,9.3
02063,5.9
02066,8.7
02068,8.3
02070,19.5
02090,6.1
02100,5.4
02105,14.2
02110,8.9
02122,11.8
02130,8.7
02150,8.7
02158,32.4
02164,12.8
02170,10.0
02180,21.5
02185,11.1
02188,17.9
02195,7.0
02198,12.7
02220,7.5
02230,5.9
02240,12.7
02275,12.1
02282,11.9
02290,16.0
04001,30.5
04003,15.4
04005,16.8
04007,16.9
04009,17.3
04011,8.2
04012,17.5
04013,11.0
04015,16.1
04017,24.7
04019,14.3
04021,11.1
04023,20.2
04025,12.0
04027,15.6
05001,19.0
05003,22.1
05005,15.5
05007,7.6
05009,11.7
05011,19.9
05013,10.2
05015,17.2
05017,22.6
05019,21.6
05021,17.2
05023,13.9
05025,15.8
05027,21.1
05029,19.7
05031,20.1
05033,14.7
05035,21.0
05037,19.7
05039,13.9
05041,28.3
05043,22.4
05045,14.5
05047,18.0
05049,18.0
05051,15.8
05053,13.1
05055,17.4
05057,20.2
05059,15.1
05061,22.5
05063,20.4
05065,22.3
05067,21.7
05069,18.6
05071,19.8
05073,22.3
05075,20.1
05077,39.4
05079,15.4
05081,15.5
05083,13.9
05085,10.4
05087,14.1
05089,18.0
05091,24.6
05093,21.1
05095,20.6
05097,22.4
05099,20.3
05101,15.9
05103,18.9
05105,14.2
05107,29.3
05109,20.7
05111,20.1
05113,15.9
05115,16.9
05117,11.8
05119,16.7
05121,22.4
05123,28.5
05125,8.8
05127,18.7
05129,23.0
05131,16.0
05133,17.3
05135,16.5
05137,19.3
05139,19.5
05141,19.1
05143,14.6
05145,17.5
05147,24.1
05149,15.6
06001,9.2
06003,10.0
06005,8.2
06007,19.2
06009,13.0
06011,11.4
06013,8.4
06015,12.9
06017,8.0
06019,18.3
06021,16.0
06023,18.7
06025,19.5
06027,10.9
06029,19.1
06031,16.0
06033,17.0
06035,14.0
06037,13.7
06039,19.2
06041,8.3
06043,14.0
06045,15.4
06047,19.1
06049,17.9
06051,8.6
06053,12.7
06055,8.5
06057,11.0
06059,9.5
06061,6.8
06063,10.6
06065,10.6
06067,12.5
06069,6.7
06071,13.3
06073,10.3
06075,11.2
06077,12.4
06079,12.9
06081,6.7
06083,14.7
06085,7.1
06087,11.6
06089,13.3
06091,4.4
06093,16.4
06095,10.0
06097,8.9
06099,13.5
06101,14.4
06103,15.6
06105,20.7
06107,17.9
06109,10.4
06111,9.3
06113,16.7
06115,14.2
08001,9.8
08003,17.2
08005,8.6
08007,8.2
08009,24.6
08011,28.4
08013,11.2
08014,6.2
08015,8.3
08017,8.2
08019,6.4
08021,11.7
08023,21.0
08025,19.4
08027,12.7
08029,14.0
08031,11.2
08033,21.6
08035,3.8
08037,8.7
08039,5.3
08041,8.5
08043,13.3
08045,8.2
08047,11.2
08049,7.6
08051,11.3
08053,4.1
08055,17.3
08057,14.6
08059,6.7
08061,11.8
08063,9.8
08065,7.9
08067,11.7
08069,11.2
08071,18.7
08073,9.8
08075,15.8
08077,10.7
08079,10.0
08081,8.4
08083,13.3
08085,11.5
08087,14.3
08089,22.1
08091,4.3
08093,5.0
08095,16.8
08097,7.8
08099,18.2
08101,14.6
08103,8.5
08105,18.0
08107,5.2
08109,17.8
08111,21.3
08113,9.3
08115,13.0
08117,7.7
08119,7.6
08121,8.1
08123,9.6
08125,17.9
09110,10.3
09120,12.4
09130,6.8
09140,11.2
09150,7.5
09160,8.8
09170,11.4
09180,10.7
09190,7.5
10001,10.6
10003,10.1
10005,10.9
11001,15.4
12001,21.2
12003,11.8
12005,11.9
12007,16.8
12009,10.2
12011,12.2
12013,20.7
12015,9.0
12017,15.6
12019,9.2
12021,10.7
12023,16.7
12027,24.1
12029,20.9
12031,14.1
12033,14.7
12035,10.3
12037,16.5
12039,27.9
12041,11.5
12043,17.2
12045,12.5
12047,20.1
12049,25.3
12051,22.5
12053,11.7
12055,15.3
12057,12.7
12059,14.0
12061,11.1
12063,19.5
12065,21.0
12067,17.5
12069,8.9
12071,12.0
12073,18.7
12075,17.4
12077,17.5
12079,21.0
12081,9.8
12083,14.4
12085,11.3
12086,14.7
12087,10.6
12089,9.7
12091,9.3
12093,18.0
12095,13.0
12097,12.8
12099,11.3
12101,11.1
12103,11.5
12105,14.5
12107,23.4
12109,6.5
12111,12.3
12113,8.8
12115,8.6
12117,9.0
12119,9.7
12121,15.0
12123,17.3
12125,19.5
12127,11.8
12129,6.7
12131,12.5
12133,17.3
13001,22.5
13003,25.0
13005,24.5
13007,26.3
13009,21.7
13011,11.3
13013,9.6
13015,10.3
13017,25.2
13019,20.6
13021,24.7
13023,19.3
13025,17.1
13027,25.4
13029,6.7
13031,23.0
13033,18.3
13035,10.4
13037,22.8
13039,12.9
13043,16.3
13045,15.4
13047,9.9
13049,18.1
13051,14.3
13053,13.9
13055,21.2
13057,7.0
13059,26.0
13061,21.0
13063,17.9
13065,26.1
13067,8.7
13069,23.1
13071,22.9
13073,7.5
13075,17.7
13077,7.4
13079,11.6
13081,23.3
13083,8.2
13085,8.5
13087,22.0
13089,13.7
13091,21.5
13093,15.7
13095,25.0
13097,10.9
13099,23.6
13101,14.2
13103,6.8
13105,18.0
13107,25.7
13109,19.1
13111,13.7
13113,5.6
13115,16.0
13117,4.3
13119,19.5
13121,12.3
13123,16.0
13125,12.6
13127,16.1
13129,12.0
13131,20.3
13133,9.8
13135,10.8
13137,14.1
13139,11.8
13141,30.6
13143,15.4
13145,9.0
13147,11.9
13149,17.9
13151,9.2
13153,11.1
13155,22.4
13157,7.3
13159,16.0
13161,21.8
13163,16.9
13165,22.9
13167,24.2
13169,12.1
13171,9.6
13173,26.1
13175,22.6
13177,5.7
13179,15.3
13181,17.0
13183,17.3
13185,19.2
13187,14.1
13189,20.3
13191,23.0
13193,25.1
13195,17.2
13197,20.9
13199,18.9
13201,23.8
13205,23.4
13207,12.3
13209,20.6
13211,8.8
13213,14.4
13215,19.0
13217,12.3
13219,6.2
13221,11.6
13223,6.6
13225,17.3
13227,12.0
13229,13.8
13231,9.3
13233,16.4
13235,16.5
13237,17.6
13239,15.7
13241,13.1
13243,30.0
13245,20.0
13247,10.8
13249,13.9
13251,17.2
13253,20.1
13255,18.9
13257,15.8
13259,26.4
13261,23.7
13263,25.2
13265,20.4
13267,23.4
13269,32.1
13271,24.1
13273,33.3
13275,17.9
13277,20.8
13279,22.5
13281,13.3
13283,13.8
13285,16.9
13287,20.3
13289,18.2
13291,10.9
13293,19.3
13295,13.3
13297,11.9
13299,21.5
13301,21.4
13303,17.2
13305,21.3
13307,22.3
13309,32.7
13311,12.4
13313,14.8
13315,21.9
13317,17.8
13319,21.6
13321,24.0
15001,14.9
15003,9.2
15005,22.7
15007,9.1
15009,9.2
16001,8.3
16003,17.9
16005,12.3
16007,7.0
16009,12.9
16011,11.7
16013,6.6
16015,7.7
16017,11.1
16019,9.8
16021,13.6
16023,19.3
16025,5.9
16027,10.5
16029,9.2
16031,12.4
16033,11.7
16035,13.2
16037,15.8
16039,10.5
16041,7.9
16043,10.1
16045,12.0
16047,13.0
16049,11.1
16051,9.7
16053,12.6
16055,9.0
16057,17.6
16059,12.8
16061,15.3
16063,10.5
16065,24.5
16067,14.5
16069,12.2
16071,10.8
16073,12.2
16075,10.2
16077,9.5
16079,13.1
16081,9.1
16083,11.5
16085,11.7
16087,15.3
17001,12.8
17003,19.0
17005,10.9
17007,9.9
17009,9.2
17011,10.8
17013,6.3
17015,14.2
17017,11.1
17019,19.1
17021,10.2
17023,9.1
17025,17.5
17027,7.4
17029,18.7
17031,13.5
17033,12.1
17035,9.1
17037,14.8
17039,10.0
17041,8.5
17043,6.6
17045,12.0
17047,16.5
17049,10.1
17051,15.5
17053,12.4
17055,17.5
17057,13.2
17059,13.6
17061,14.3
17063,6.0
17065,12.1
17067,12.3
17069,11.0
17071,13.9
17073,8.9
17075,12.5
17077,21.0
17079,11.1
17081,13.5
17083,8.8
17085,7.8
17087,17.6
17089,7.9
17091,12.2
17093,5.4
17095,14.6
17097,8.3
17099,13.9
17101,14.5
17103,11.8
17105,10.5
17107,13.1
17109,17.2
17111,6.2
17113,12.9
17115,15.0
17117,13.1
17119,11.1
17121,15.4
17123,11.4
17125,14.8
17127,16.3
17129,10.1
17131,8.9
17133,5.0
17135,12.6
17137,13.4
17139,9.2
17141,8.4
17143,15.7
17145,16.9
17147,6.1
17149,14.8
17151,13.3
17153,25.0
17155,8.1
17157,14.6
17159,12.1
17161,15.5
17163,13.6
17165,18.9
17167,13.1
17169,20.8
17171,11.5
17173,9.2
17175,11.1
17177,13.9
17179,9.0
17181,20.2
17183,17.7
17185,16.7
17187,14.6
17189,7.5
17191,16.1
17193,16.4
17195,12.0
17197,7.3
17199,13.8
17201,15.6
17203,7.0
18001,11.2
18003,12.5
18005,10.5
18007,13.9
18009,16.2
18011,4.5
18013,7.8
18015,8.8
18017,13.2
18019,10.2
18021,11.7
18023,9.8
18025,22.9
18027,11.7
18029,7.6
18031,10.2
18033,9.5
18035,19.6
18037,11.0
18039,12.4
18041,17.9
18043,10.3
18045,12.4
18047,6.9
18049,15.3
18051,10.8
18053,19.8
18055,12.8
18057,4.4
18059,4.7
18061,7.2
18063,5.3
18065,13.6
18067,13.4
18069,9.9
18071,12.3
18073,8.4
18075,14.4
18077,12.3
18079,12.6
18081,7.4
18083,13.7
18085,9.8
18087,5.9
18089,14.3
18091,13.6
18093,12.2
18095,13.4
18097,15.3
18099,11.7
18101,16.3
18103,15.1
18105,19.7
18107,10.5
18109,9.3
18111,14.0
18113,9.2
18115,8.1
18117,13.4
18119,12.3
18121,16.2
18123,15.0
18125,10.7
18127,9.6
18129,10.1
18131,12.1
18133,8.7
18135,15.8
18137,10.1
18139,11.9
18141,14.2
18143,16.6
18145,13.0
18147,7.5
18149,13.4
18151,9.3
18153,13.9
18155,12.6
18157,19.2
18159,11.2
18161,8.5
18163,14.3
18165,15.3
18167,19.2
18169,11.1
18171,11.0
18173,7.0
18175,14.4
18177,17.9
18179,7.2
18181,10.2
18183,9.9
19001,9.5
19003,9.1
19005,10.1
19007,17.5
19009,11.8
19011,7.4
19013,14.9
19015,6.2
19017,7.3
19019,8.6
19021,7.8
19023,9.2
19025,9.3
19027,7.9
19029,14.3
19031,7.3
19033,10.6
19035,12.1
19037,8.8
19039,9.7
19041,11.4
19043,10.9
19045,13.2
19047,14.8
19049,6.3
19051,7.2
19053,14.6
19055,7.8
19057,12.8
19059,7.6
19061,9.7
19063,9.9
19065,12.0
19067,11.6
19069,13.6
19071,7.7
19073,9.8
19075,6.5
19077,9.9
19079,7.4
19081,12.2
19083,9.7
19085,7.1
19087,12.0
19089,8.9
19091,12.9
19093,11.3
19095,8.9
19097,9.7
19099,8.3
19101,15.2
19103,17.1
19105,12.0
19107,12.1
19109,8.2
19111,13.1
19113,9.4
19115,9.8
19117,14.9
19119,5.3
19121,7.0
19123,12.6
19125,8.2
19127,11.2
19129,8.2
19131,9.5
19133,10.6
19135,9.2
19137,15.3
19139,13.7
19141,13.3
19143,16.0
19145,13.8
19147,11.6
19149,6.9
19151,10.3
19153,10.3
19155,12.1
19157,10.7
19159,8.8
19161,9.2
19163,11.5
19165,7.6
19167,6.7
19169,18.2
19171,14.8
19173,11.0
19175,12.4
19177,15.1
19179,15.8
19181,5.1
19183,8.2
19185,10.1
19187,12.9
19189,11.2
19191,8.4
19193,14.0
19195,8.2
19197,16.8
20001,9.9
20003,11.0
20005,13.0
20007,11.8
20009,15.4
20011,13.6
20013,13.8
20015,8.5
20017,8.4
20019,14.9
20021,14.1
20023,17.0
20025,9.9
20027,13.4
20029,10.0
20031,10.7
20033,9.2
20035,14.3
20037,20.6
20039,12.7
20041,8.1
20043,9.6
20045,14.7
20047,18.9
20049,10.4
20051,18.3
20053,10.4
20055,11.1
20057,14.0
20059,8.7
20061,18.0
20063,5.1
20065,14.8
20067,9.3
20069,8.5
20071,7.1
20073,13.9
20075,7.0
20077,17.3
20079,8.2
20081,11.2
20083,6.3
20085,6.1
20087,5.6
20089,10.6
20091,5.4
20093,4.5
20095,10.3
20097,5.9
20099,16.0
20101,7.0
20103,8.8
20105,11.3
20107,8.4
20109,15.0
20111,14.6
20113,9.5
20115,9.2
20117,11.3
20119,11.0
20121,7.9
20123,12.2
20125,15.9
20127,12.1
20129,14.8
20131,9.3
20133,13.1
20135,11.2
20137,7.2
20139,9.7
20141,8.4
20143,10.4
20145,11.5
20147,15.4
20149,6.7
20151,12.3
20153,6.8
20155,12.5
20157,10.6
20159,7.7
20161,19.9
20163,5.5
20165,11.1
20167,14.7
20169,11.9
20171,6.5
20173,13.9
20175,12.2
20177,12.7
20179,8.9
20181,10.2
20183,7.3
20185,10.5
20187,1.5
20189,14.2
20191,10.6
20193,6.5
20195,5.5
20197,8.5
20199,12.3
20201,9.3
20203,16.5
20205,15.5
20207,12.4
20209,15.8
21001,18.4
21003,13.5
21005,11.5
21007,15.0
21009,19.4
21011,25.3
