FIPS,Name,Median_Household_Income,Median_Income_Lower_Bound,Median_Income_Upper_Bound
00000,United States,77719.0,77533.0,77905.0
01000,Alabama,62248.0,61546.0,62950.0
01001,Autauga County,68857.0,62667.0,75047.0
01003,Baldwin County,74248.0,69046.0,79450.0
01005,Barbour County,45298.0,40531.0,50065.0
01007,Bibb County,56025.0,49463.0,62587.0
01009,Blount County,64962.0,59013.0,70911.0
01011,Bullock County,36204.0,31398.0,41010.0
01013,Butler County,44729.0,40192.0,49266.0
01015,Calhoun County,51841.0,48155.0,55527.0
01017,Chambers County,50390.0,44560.0,56220.0
01019,Cherokee County,56400.0,50628.0,62172.0
01021,Chilton County,59165.0,55581.0,62749.0
01023,Choctaw County,47432.0,41597.0,53267.0
01025,Clarke County,50868.0,44973.0,56763.0
01027,Clay County,52077.0,45838.0,58316.0
01029,Cleburne County,59526.0,52148.0,66904.0
01031,Coffee County,64737.0,59002.0,70472.0
01033,Colbert County,57770.0,52928.0,62612.0
01035,Conecuh County,46702.0,43315.0,50089.0
01037,Coosa County,59736.0,55224.0,64248.0
01039,Covington County,50119.0,44957.0,55281.0
01041,Crenshaw County,49128.0,43260.0,54996.0
01043,Cullman County,61231.0,54767.0,67695.0
01045,Dale County,54697.0,50032.0,59362.0
01047,Dallas County,39013.0,34241.0,43785.0
01049,DeKalb County,50614.0,44649.0,56579.0
01051,Elmore County,73125.0,67020.0,79230.0
01053,Escambia County,50333.0,45240.0,55426.0
01055,Etowah County,52504.0,49174.0,55834.0
01057,Fayette County,49235.0,43591.0,54879.0
01059,Franklin County,49682.0,43562.0,55802.0
01061,Geneva County,50006.0,44378.0,55634.0
01063,Greene County,34619.0,30256.0,38982.0
01065,Hale County,42380.0,38849.0,45911.0
01067,Henry County,55598.0,49721.0,61475.0
01069,Houston County,59412.0,56210.0,62614.0
01071,Jackson County,51479.0,48245.0,54713.0
01073,Jefferson County,64726.0,61862.0,67590.0
01075,Lamar County,50929.0,44791.0,57067.0
01077,Lauderdale County,63895.0,59600.0,68190.0
01079,Lawrence County,61064.0,55014.0,67114.0
01081,Lee County,62301.0,57268.0,67334.0
01083,Limestone County,81811.0,77874.0,85748.0
01085,Lowndes County,42011.0,36781.0,47241.0
01087,Macon County,40710.0,36252.0,45168.0
01089,Madison County,86172.0,82954.0,89390.0
01091,Marengo County,47228.0,41172.0,53284.0
01093,Marion County,48829.0,43293.0,54365.0
01095,Marshall County,59882.0,55549.0,64215.0
01097,Mobile County,55538.0,52899.0,58177.0
01099,Monroe County,49314.0,43688.0,54940.0
01101,Montgomery County,60063.0,56591.0,63535.0
01103,Morgan County,70387.0,64678.0,76096.0
01105,Perry County,34176.0,29744.0,38608.0
01107,Pickens County,47372.0,41270.0,53474.0
01109,Pike County,50675.0,45473.0,55877.0
01111,Randolph County,57148.0,52026.0,62270.0
01113,Russell County,52312.0,48106.0,56518.0
01115,St. Clair County,78349.0,72699.0,83999.0
01117,Shelby County,90280.0,84649.0,95911.0
01119,Sumter County,37021.0,32535.0,41507.0
01121,Talladega County,59491.0,55623.0,63359.0
01123,Tallapoosa County,60583.0,56615.0,64551.0
01125,Tuscaloosa County,61117.0,57987.0,64247.0
01127,Walker County,57950.0,53220.0,62680.0
01129,Washington County,57311.0,50928.0,63694.0
01131,Wilcox County,34426.0,30218.0,38634.0
01133,Winston County,52280.0,45967.0,58593.0
02000,Alaska,88696.0,86365.0,91027.0
02013,Aleutians East Borough,83000.0,71794.0,94206.0
02016,Aleutians West Census Area,104159.0,91965.0,116353.0
02020,Anchorage Borough,93881.0,87984.0,99778.0
02050,Bethel Census Area,62140.0,56980.0,67300.0
02060,Bristol Bay Borough,99790.0,87655.0,111925.0
02063,Chugach Census Area,95180.0,83221.0,107139.0
02066,Copper River Census Area,69092.0,61907.0,76277.0
02068,Denali Borough,86118.0,74903.0,97333.0
02070,Dillingham Census Area,62598.0,55378.0,69818.0
02090,Fairbanks North Star Borough,86780.0,80726.0,92834.0
02100,Haines Borough,78649.0,71233.0,86065.0
02105,Hoonah-Angoon Census Area,64720.0,56480.0,72960.0
02110,Juneau Borough,99748.0,88694.0,110802.0
02122,Kenai Peninsula Borough,74185.0,68530.0,79840.0
02130,Ketchikan Gateway Borough,87760.0,78204.0,97316.0
02150,Kodiak Island Borough,86250.0,75264.0,97236.0
02158,Kusilvak Census Area,42029.0,37140.0,46918.0
02164,Lake and Peninsula Borough,62547.0,55074.0,70020.0
02170,Matanuska-Susitna Borough,94376.0,89441.0,99311.0
02180,Nome Census Area,75296.0,68594.0,81998.0
02185,North Slope Borough,103556.0,91785.0,115327.0
02188,Northwest Arctic Borough,78619.0,71208.0,86030.0
02195,Petersburg Borough,68449.0,60250.0,76648.0
02198,Prince of Wales-Hyder Census Area,57304.0,50404.0,64204.0
02220,Sitka Borough,89264.0,78595.0,99933.0
02230,Skagway Municipality,79412.0,69515.0,89309.0
02240,Southeast Fairbanks Census Area,79014.0,71160.0,86868.0
02275,Wrangell City and Borough,65011.0,56644.0,73378.0
02282,Yakutat Borough,77108.0,67093.0,87123.0
02290,Yukon-Koyukuk Census Area,49498.0,43196.0,55800.0
04000,Arizona,77158.0,76244.0,78072.0
04001,Apache County,43121.0,38867.0,47375.0
04003,Cochise County,53011.0,49872.0,56150.0
04005,Coconino County,71528.0,67322.0,75734.0
04007,Gila County,55804.0,49805.0,61803.0
04009,Graham County,66469.0,60412.0,72526.0
04011,Greenlee County,71273.0,64923.0,77623.0
04012,La Paz County,48801.0,44065.0,53537.0
04013,Maricopa County,86973.0,85553.0,88393.0
04015,Mohave County,56302.0,53426.0,59178.0
04017,Navajo County,51011.0,48577.0,53445.0
04019,Pima County,69553.0,67307.0,71799.0
04021,Pinal County,77290.0,73498.0,81082.0
04023,Santa Cruz County,52400.0,46578.0,58222.0
04025,Yavapai County,67317.0,64050.0,70584.0
04027,Yuma County,61225.0,57300.0,65150.0
05000,Arkansas,58748.0,57628.0,59868.0
05001,Arkansas County,50198.0,44511.0,55885.0
05003,Ashley County,49560.0,46035.0,53085.0
05005,Baxter County,48804.0,43539.0,54069.0
05007,Benton County,92632.0,87279.0,97985.0
05009,Boone County,56154.0,50194.0,62114.0
05011,Bradley County,44525.0,38850.0,50200.0
05013,Calhoun County,57689.0,50433.0,64945.0
05015,Carroll County,53986.0,48564.0,59408.0
05017,Chicot County,40381.0,37341.0,43421.0
05019,Clark County,53561.0,47858.0,59264.0
05021,Clay County,47663.0,41942.0,53384.0
05023,Cleburne County,56692.0,50809.0,62575.0
05025,Cleveland County,54458.0,47620.0,61296.0
05027,Columbia County,44175.0,39099.0,49251.0
05029,Conway County,53863.0,48720.0,59006.0
05031,Craighead County,60204.0,55504.0,64904.0
05033,Crawford County,63905.0,58174.0,69636.0
05035,Crittenden County,52153.0,47632.0,56674.0
05037,Cross County,47669.0,41812.0,53526.0
05039,Dallas County,46701.0,41495.0,51907.0
05041,Desha County,43469.0,38674.0,48264.0
05043,Drew County,48746.0,42195.0,55297.0
05045,Faulkner County,68543.0,63754.0,73332.0
05047,Franklin County,54077.0,47197.0,60957.0
05049,Fulton County,46346.0,40442.0,52250.0
05051,Garland County,53849.0,48849.0,58849.0
05053,Grant County,64306.0,58692.0,69920.0
05055,Greene County,55444.0,49969.0,60919.0
05057,Hempstead County,50576.0,45043.0,56109.0
05059,Hot Spring County,53767.0,50366.0,57168.0
05061,Howard County,47308.0,41618.0,52998.0
05063,Independence County,59695.0,53775.0,65615.0
05065,Izard County,47320.0,41842.0,52798.0
05067,Jackson County,45762.0,40329.0,51195.0
05069,Jefferson County,49581.0,44658.0,54504.0
05071,Johnson County,50387.0,43980.0,56794.0
05073,Lafayette County,43824.0,38244.0,49404.0
05075,Lawrence County,49015.0,43518.0,54512.0
05077,Lee County,36735.0,31946.0,41524.0
05079,Lincoln County,53381.0,46996.0,59766.0
05081,Little River County,48837.0,43912.0,53762.0
05083,Logan County,51290.0,45241.0,57339.0
05085,Lonoke County,74687.0,68370.0,81004.0
05087,Madison County,52262.0,46423.0,58101.0
05089,Marion County,49975.0,44812.0,55138.0
05091,Miller County,50421.0,44488.0,56354.0
05093,Mississippi County,49484.0,44632.0,54336.0
05095,Monroe County,40631.0,35914.0,45348.0
05097,Montgomery County,48991.0,42982.0,55000.0
05099,Nevada County,45562.0,39647.0,51477.0
05101,Newton County,46307.0,40940.0,51674.0
05103,Ouachita County,49690.0,44315.0,55065.0
05105,Perry County,57996.0,50932.0,65060.0
05107,Phillips County,37338.0,32657.0,42019.0
05109,Pike County,53108.0,48791.0,57425.0
05111,Poinsett County,51635.0,46554.0,56716.0
05113,Polk County,47766.0,42720.0,52812.0
05115,Pope County,59016.0,53991.0,64041.0
05117,Prairie County,54962.0,48788.0,61136.0
05119,Pulaski County,61344.0,59283.0,63405.0
05121,Randolph County,51480.0,45025.0,57935.0
05123,St. Francis County,41708.0,36856.0,46560.0
05125,Saline County,77844.0,72795.0,82893.0
05127,Scott County,46026.0,40239.0,51813.0
05129,Searcy County,40688.0,35795.0,45581.0
05131,Sebastian County,58112.0,53673.0,62551.0
05133,Sevier County,52845.0,46246.0,59444.0
05135,Sharp County,45258.0,39863.0,50653.0
05137,Stone County,43767.0,38722.0,48812.0
05139,Union County,49664.0,43750.0,55578.0
05141,Van Buren County,50332.0,45227.0,55437.0
05143,Washington County,66158.0,61585.0,70731.0
05145,White County,56178.0,50972.0,61384.0
05147,Woodruff County,43259.0,38151.0,48367.0
05149,Yell County,51997.0,46670.0,57324.0
06000,California,95473.0,94866.0,96080.0
06001,Alameda County,119230.0,115954.0,122506.0
06003,Alpine County,83265.0,75129.0,91401.0
06005,Amador County,80767.0,73729.0,87805.0
06007,Butte County,63084.0,59966.0,66202.0
06009,Calaveras County,77041.0,69437.0,84645.0
06011,Colusa County,66675.0,58759.0,74591.0
06013,Contra Costa County,122000.0,117837.0,126163.0
06015,Del Norte County,70231.0,65951.0,74511.0
06017,El Dorado County,107063.0,102121.0,112005.0
06019,Fresno County,71271.0,69560.0,72982.0
06021,Glenn County,64197.0,57452.0,70942.0
06023,Humboldt County,61307.0,58736.0,63878.0
06025,Imperial County,58768.0,55235.0,62301.0
06027,Inyo County,71656.0,63583.0,79729.0
06029,Kern County,68436.0,66141.0,70731.0
06031,Kings County,65768.0,60607.0,70929.0
06033,Lake County,57945.0,53681.0,62209.0
06035,Lassen County,77743.0,73515.0,81971.0
06037,Los Angeles County,86499.0,85733.0,87265.0
06039,Madera County,66084.0,61331.0,70837.0
06041,Marin County,139197.0,132371.0,146023.0
06043,Mariposa County,64352.0,55914.0,72790.0
06045,Mendocino County,65891.0,60908.0,70874.0
06047,Merced County,58962.0,55072.0,62852.0
06049,Modoc County,51996.0,45471.0,58521.0
06051,Mono County,82973.0,72523.0,93423.0
06053,Monterey County,86809.0,83139.0,90479.0
