YEAR,BENE_GEO_DESC,BENE_GEO_CD,BENE_AGE_LVL,BENES_TOTAL_CNT,BENE_AVG_AGE,BENE_AVG_RISK_SCRE,TOT_MDCR_PYMT_PC,TOT_MDCR_STDZD_PYMT_PC
2023,AK-Aleutians East,2013.0,All,171,72,0.89,11214.05,7913.45
2023,AK-Aleutians West,2016.0,All,250,72,0.72,9465.64,8125.52
2023,AK-Anchorage,2020.0,All,45726,71,0.88,11173.35,9192.93
2023,AK-Bethel,2050.0,All,1748,71,0.79,11616.8,8116.22
2023,AK-Bristol Bay,2060.0,All,181,73,0.83,15873.3,10405.53
2023,AK-Chugach,2063.0,All,263,68,0.72,15942.18,12756.78
2023,AK-Copper River,2066.0,All,239,68,0.72,6345.71,5332.91
2023,AK-Denali,2068.0,All,320,71,0.6,7485.05,5916.78
2023,AK-Dillingham,2070.0,All,578,71,0.85,19506.94,14747.37
2023,AK-Fairbanks North Star,2090.0,All,13603,71,0.77,8993.97,7065.32
2023,AK-Haines,2100.0,All,737,73,0.71,13505.07,11058.37
2023,AK-Hoonah-Angoon,2105.0,All,586,73,0.73,12901.35,10412.02
2023,AK-Juneau,2110.0,All,5958,72,0.73,11854.83,9425.84
2023,AK-Kenai Peninsula,2122.0,All,14408,72,0.77,11870.28,9098.6
2023,AK-Ketchikan Gateway,2130.0,All,2867,72,0.83,12223.35,9887.2
2023,AK-Kodiak Island,2150.0,All,2070,72,0.78,13134.43,9366.06
2023,AK-Kusilvak,2158.0,All,626,70,0.78,10838.68,7960.16
2023,AK-Lake and Peninsula,2164.0,All,182,71,0.83,12007.34,8876.24
2023,AK-Matanuska-Susitna,2170.0,All,18901,71,0.81,11022.28,8731.39
2023,AK-Nome,2180.0,All,1012,70,0.83,17692.45,12995.92
2023,AK-North Slope,2185.0,All,605,70,0.93,26685.09,19064.37
2023,AK-Northwest Arctic,2188.0,All,659,71,0.9,22037.47,17709.43
2023,AK-Petersburg,2195.0,All,933,73,0.73,14123.75,11123.1
2023,AK-Prince of Wales-Hyder,2198.0,All,1190,71,0.72,10887.05,8635.64
2023,AK-Sitka,2220.0,All,1691,73,0.8,18116.82,14079.19
2023,AK-Skagway,2230.0,All,210,73,0.64,9552.32,8021.13
2023,AK-Southeast Fairbanks,2240.0,All,1507,72,0.7,8442.72,6465.44
2023,AK-UNKNOWN,2000.0,All,*,*,*,*,*
2023,AK-Wrangell,2275.0,All,624,73,0.76,15299.73,12527.27
2023,AK-Yakutat,2282.0,All,124,74,0.79,8396.08,6204.57
2023,AK-Yukon-Koyukuk,2290.0,All,1017,72,0.85,11536.51,8652.54
2023,AL-Autauga,1001.0,All,12391,72,0.98,11307.49,12193.99
2023,AL-Baldwin,1003.0,All,64196,74,0.95,11835.96,12513.63
2023,AL-Barbour,1005.0,All,6505,72,1.03,13501.4,14321.81
2023,AL-Bibb,1007.0,All,4955,71,1.13,12414.88,13048.81
2023,AL-Blount,1009.0,All,13429,73,1.02,12490.84,13254.69
2023,AL-Bullock,1011.0,All,2432,72,1.17,13568.37,14896.84
2023,AL-Butler,1013.0,All,5221,73,1.01,11359.14,12283.78
2023,AL-Calhoun,1015.0,All,28769,72,1.07,12302.31,13300.19
2023,AL-Chambers,1017.0,All,9361,72,1.07,11122.9,11894.34
2023,AL-Cherokee,1019.0,All,7977,72,1.06,12506.75,13057.58
2023,AL-Chilton,1021.0,All,10406,72,1.02,12964.64,13793.8
2023,AL-Choctaw,1023.0,All,3959,72,1.05,13387.2,14347.3
2023,AL-Clarke,1025.0,All,6662,72,0.98,11286.96,12092.79
2023,AL-Clay,1027.0,All,3847,73,0.94,10402.61,11148.66
2023,AL-Cleburne,1029.0,All,3762,73,0.99,11478.26,12218.37
2023,AL-Coffee,1031.0,All,11977,72,1.01,10643.97,11603.58
2023,AL-Colbert,1033.0,All,15108,73,0.97,11528.25,12736.37
2023,AL-Conecuh,1035.0,All,3688,72,0.91,11236.6,11929.47
2023,AL-Coosa,1037.0,All,3255,72,1.03,11472.61,12300.83
2023,AL-Covington,1039.0,All,10668,73,1.07,12232.41,13099.32
2023,AL-Crenshaw,1041.0,All,3653,73,0.96,11178.4,11930.32
2023,AL-Cullman,1043.0,All,21725,73,1.06,12718.99,13269.04
2023,AL-Dale,1045.0,All,11706,72,1.02,11404.47,12425.31
2023,AL-Dallas,1047.0,All,10139,71,1.14,12041.43,12574.24
2023,AL-DeKalb,1049.0,All,16539,72,0.96,11137.1,11990.12
2023,AL-Elmore,1051.0,All,19812,72,0.95,11251.33,11974.14
2023,AL-Escambia,1053.0,All,9266,73,1.01,13607.57,14471.74
2023,AL-Etowah,1055.0,All,27579,71,1.05,13098.41,14496.42
2023,AL-Fayette,1057.0,All,4701,72,1.05,12036.31,12734.19
2023,AL-Franklin,1059.0,All,7047,73,1.01,12637.69,14045.07
2023,AL-Geneva,1061.0,All,7343,73,1.01,11318.96,12498.96
