fips,state_abbr,min_wage_2023
01073,AL,7.25
01077,AL,7.25
01081,AL,7.25
02020,AK,10.85
02070,AK,10.85
02130,AK,10.85
02150,AK,10.85
02170,AK,10.85
04013,AZ,13.85
04023,AZ,13.85
04027,AZ,13.85
05001,AR,11.0
05035,AR,11.0
05057,AR,11.0
05059,AR,11.0
05063,AR,11.0
05069,AR,11.0
05093,AR,11.0
05097,AR,11.0
05113,AR,11.0
05123,AR,11.0
05131,AR,11.0
05143,AR,11.0
06001,CA,15.5
06009,CA,15.5
06011,CA,15.5
06013,CA,15.5
06017,CA,15.5
06019,CA,15.5
06023,CA,15.5
06025,CA,15.5
06037,CA,15.5
06039,CA,15.5
06043,CA,15.5
06045,CA,15.5
06047,CA,15.5
06053,CA,15.5
06057,CA,15.5
06059,CA,15.5
06061,CA,15.5
06065,CA,15.5
06067,CA,15.5
06069,CA,15.5
06071,CA,15.5
06073,CA,15.5
06075,CA,15.5
06077,CA,15.5
06079,CA,15.5
06081,CA,15.5
06083,CA,15.5
06085,CA,15.5
06087,CA,15.5
06089,CA,15.5
06093,CA,15.5
06099,CA,15.5
06109,CA,15.5
06111,CA,15.5
08001,CO,13.65
08005,CO,13.65
08011,CO,13.65
08013,CO,13.65
08029,CO,13.65
08031,CO,13.65
08035,CO,13.65
08037,CO,13.65
08039,CO,13.65
08041,CO,13.65
08049,CO,13.65
08065,CO,13.65
08069,CO,13.65
08075,CO,13.65
08077,CO,13.65
08089,CO,13.65
08091,CO,13.65
08093,CO,13.65
08097,CO,13.65
08101,CO,13.65
08107,CO,13.65
08117,CO,13.65
08123,CO,13.65
09110,CT,15.0
09170,CT,15.0
10003,DE,11.75
12001,FL,12.0
12003,FL,12.0
12009,FL,12.0
12011,FL,12.0
12013,FL,12.0
12015,FL,12.0
12017,FL,12.0
12019,FL,12.0
12021,FL,12.0
12023,FL,12.0
12027,FL,12.0
12031,FL,12.0
12033,FL,12.0
12035,FL,12.0
12043,FL,12.0
12049,FL,12.0
12053,FL,12.0
12057,FL,12.0
12059,FL,12.0
12063,FL,12.0
12067,FL,12.0
12069,FL,12.0
12071,FL,12.0
12073,FL,12.0
12075,FL,12.0
12079,FL,12.0
12081,FL,12.0
12083,FL,12.0
12085,FL,12.0
12086,FL,12.0
12087,FL,12.0
12089,FL,12.0
12091,FL,12.0
12095,FL,12.0
12097,FL,12.0
12099,FL,12.0
12101,FL,12.0
12103,FL,12.0
12105,FL,12.0
12107,FL,12.0
12111,FL,12.0
12115,FL,12.0
12117,FL,12.0
12119,FL,12.0
12123,FL,12.0
12125,FL,12.0
12127,FL,12.0
12129,FL,12.0
12131,FL,12.0
13067,GA,7.25
13073,GA,7.25
13139,GA,7.25
13209,GA,7.25
15009,HI,12.0
16001,ID,7.25
16019,ID,7.25
17019,IL,13.0
17031,IL,13.0
01055,AL,7.25
01003,AL,7.25
01033,AL,7.25
01001,AL,7.25
01053,AL,7.25
01063,AL,7.25
01043,AL,7.25
01061,AL,7.25
01059,AL,7.25
01015,AL,7.25
01017,AL,7.25
01027,AL,7.25
01041,AL,7.25
01047,AL,7.25
01049,AL,7.25
01031,AL,7.25
01007,AL,7.25
01051,AL,7.25
01025,AL,7.25
01065,AL,7.25
01037,AL,7.25
01005,AL,7.25
01019,AL,7.25
01011,AL,7.25
01045,AL,7.25
01013,AL,7.25
01057,AL,7.25
01035,AL,7.25
01039,AL,7.25
01023,AL,7.25
01021,AL,7.25
01069,AL,7.25
01067,AL,7.25
01009,AL,7.25
01029,AL,7.25
01089,AL,7.25
01087,AL,7.25
01071,AL,7.25
01083,AL,7.25
01085,AL,7.25
01075,AL,7.25
01079,AL,7.25
01115,AL,7.25
01095,AL,7.25
01101,AL,7.25
01113,AL,7.25
01117,AL,7.25
01091,AL,7.25
01097,AL,7.25
01103,AL,7.25
01109,AL,7.25
01099,AL,7.25
01093,AL,7.25
01111,AL,7.25
01107,AL,7.25
01105,AL,7.25
04003,AZ,13.85
01125,AL,7.25
02090,AK,10.85
01121,AL,7.25
04007,AZ,13.85
01119,AL,7.25
04005,AZ,13.85
01133,AL,7.25
02122,AK,10.85
02188,AK,10.85
04001,AZ,13.85
02050,AK,10.85
01123,AL,7.25
01127,AL,7.25
02105,AK,10.85
02158,AK,10.85
02060,AK,10.85
01131,AL,7.25
02110,AK,10.85
02013,AK,10.85
04009,AZ,13.85
02198,AK,10.85
01129,AL,7.25
02290,AK,10.85
02016,AK,10.85
02063,AK,10.85
02275,AK,10.85
02220,AK,10.85
02068,AK,10.85
02185,AK,10.85
02282,AK,10.85
02180,AK,10.85
02164,AK,10.85
02100,AK,10.85
02240,AK,10.85
02066,AK,10.85
02230,AK,10.85
02195,AK,10.85
04012,AZ,13.85
04011,AZ,13.85
04019,AZ,13.85
04015,AZ,13.85
04017,AZ,13.85
05005,AR,11.0
04025,AZ,13.85
05003,AR,11.0
05007,AR,11.0
04021,AZ,13.85
05009,AR,11.0
05011,AR,11.0
05031,AR,11.0
05017,AR,11.0
05091,AR,11.0
05115,AR,11.0
05021,AR,11.0
05111,AR,11.0
05045,AR,11.0
05051,AR,11.0
05101,AR,11.0
05067,AR,11.0
05079,AR,11.0
05085,AR,11.0
05055,AR,11.0
05033,AR,11.0
05023,AR,11.0
05027,AR,11.0
05109,AR,11.0
05099,AR,11.0
05061,AR,11.0
05087,AR,11.0
05107,AR,11.0
05025,AR,11.0
05103,AR,11.0
05019,AR,11.0
05037,AR,11.0
05029,AR,11.0
05075,AR,11.0
05089,AR,11.0
05047,AR,11.0
05043,AR,11.0
05081,AR,11.0
05015,AR,11.0
05041,AR,11.0
05013,AR,11.0
05053,AR,11.0
05065,AR,11.0
05049,AR,11.0
05071,AR,11.0
05105,AR,11.0
05095,AR,11.0
05083,AR,11.0
05073,AR,11.0
05077,AR,11.0
05039,AR,11.0
05117,AR,11.0
05119,AR,11.0
05141,AR,11.0
05139,AR,11.0
05125,AR,11.0
05149,AR,11.0
05127,AR,11.0
05135,AR,11.0
05121,AR,11.0
05145,AR,11.0
05129,AR,11.0
05137,AR,11.0
05133,AR,11.0
05147,AR,11.0
06007,CA,15.5
06005,CA,15.5
06003,CA,15.5
06015,CA,15.5
06029,CA,15.5
06031,CA,15.5
06021,CA,15.5
06035,CA,15.5
06033,CA,15.5
06027,CA,15.5
06041,CA,15.5
06055,CA,15.5
06049,CA,15.5
06051,CA,15.5
06063,CA,15.5
06097,CA,15.5
06095,CA,15.5
06091,CA,15.5
06113,CA,15.5
06107,CA,15.5
06101,CA,15.5
06105,CA,15.5
06103,CA,15.5
08014,CO,13.65
08003,CO,13.65
08019,CO,13.65
06115,CA,15.5
08017,CO,13.65
08025,CO,13.65
08015,CO,13.65
08007,CO,13.65
08021,CO,13.65
08027,CO,13.65
08009,CO,13.65
08023,CO,13.65
08059,CO,13.65
08051,CO,13.65
08043,CO,13.65
08045,CO,13.65
08053,CO,13.65
08047,CO,13.65
08033,CO,13.65
08057,CO,13.65
08055,CO,13.65
08087,CO,13.65
08119,CO,13.65
08099,CO,13.65
08085,CO,13.65
08063,CO,13.65
08067,CO,13.65
08105,CO,13.65
08083,CO,13.65
08071,CO,13.65
08081,CO,13.65
08095,CO,13.65
08115,CO,13.65
08121,CO,13.65
08103,CO,13.65
08079,CO,13.65
08113,CO,13.65
08073,CO,13.65
08125,CO,13.65
08109,CO,13.65
08111,CO,13.65
08061,CO,13.65
09140,CT,15.0
09120,CT,15.0
09150,CT,15.0
09130,CT,15.0
09190,CT,15.0
09180,CT,15.0
09160,CT,15.0
10001,DE,11.75
