GEO_ID,NAME,Total_Households,Total_Below_Poverty,SNAP_Total_Households,SNAP_Below_Poverty,SNAP_Participation_Rate_Pct,No_SNAP_Total_Households,No_SNAP_Below_Poverty_Gap
01001,"Autauga County, Alabama",22917,2287,2116,796,9.2,20801,1491
01003,"Baldwin County, Alabama",98574,10666,6568,2985,6.7,92006,7681
01005,"Barbour County, Alabama",9128,2049,1943,1043,21.3,7185,1006
01007,"Bibb County, Alabama",7704,1650,1592,1163,20.7,6112,487
01009,"Blount County, Alabama",22180,3243,2731,1499,12.3,19449,1744
01011,"Bullock County, Alabama",3688,1258,1255,646,34.0,2433,612
01013,"Butler County, Alabama",7597,1567,1312,728,17.3,6285,839
01015,"Calhoun County, Alabama",45015,8233,8057,4018,17.9,36958,4215
01017,"Chambers County, Alabama",13434,2537,2184,1103,16.3,11250,1434
01019,"Cherokee County, Alabama",10192,1578,1121,534,11.0,9071,1044
01021,"Chilton County, Alabama",17875,2584,2613,1490,14.6,15262,1094
01023,"Choctaw County, Alabama",5255,1037,823,466,15.7,4432,571
01025,"Clarke County, Alabama",8423,1728,1983,821,23.5,6440,907
01027,"Clay County, Alabama",5820,1083,828,508,14.2,4992,575
01029,"Cleburne County, Alabama",5980,996,867,381,14.5,5113,615
01031,"Coffee County, Alabama",20984,3519,2417,1465,11.5,18567,2054
01033,"Colbert County, Alabama",24301,4303,3515,2161,14.5,20786,2142
01035,"Conecuh County, Alabama",4417,1047,882,536,20.0,3535,511
01037,"Coosa County, Alabama",4418,630,716,267,16.2,3702,363
01039,"Covington County, Alabama",14642,2937,2082,1232,14.2,12560,1705
01041,"Crenshaw County, Alabama",5233,1157,1087,546,20.8,4146,611
01043,"Cullman County, Alabama",35347,5586,3531,2246,10.0,31816,3340
01045,"Dale County, Alabama",19727,3767,3637,1840,18.4,16090,1927
01047,"Dallas County, Alabama",15947,4686,5765,3198,36.2,10182,1488
01049,"DeKalb County, Alabama",26181,5508,4627,2466,17.7,21554,3042
01051,"Elmore County, Alabama",32856,3510,3465,1326,10.5,29391,2184
01053,"Escambia County, Alabama",12808,2808,1942,1152,15.2,10866,1656
01055,"Etowah County, Alabama",39411,6894,6173,3344,15.7,33238,3550
01057,"Fayette County, Alabama",6255,1306,1124,658,18.0,5131,648
01059,"Franklin County, Alabama",11954,2312,2386,1419,20.0,9568,893
01061,"Geneva County, Alabama",10647,1867,1945,958,18.3,8702,909
01063,"Greene County, Alabama",3225,1303,1029,716,31.9,2196,587
01065,"Hale County, Alabama",5642,1548,1568,949,27.8,4074,599
01067,"Henry County, Alabama",7062,1325,997,569,14.1,6065,756
01069,"Houston County, Alabama",43302,7230,6964,3716,16.1,36338,3514
01071,"Jackson County, Alabama",21795,3937,2690,1410,12.3,19105,2527
01073,"Jefferson County, Alabama",269883,40745,38255,17836,14.2,231628,22909
01075,"Lamar County, Alabama",5086,1016,1044,572,20.5,4042,444
01077,"Lauderdale County, Alabama",39258,5034,3925,2143,10.0,35333,2891
01079,"Lawrence County, Alabama",13627,2030,2059,1025,15.1,11568,1005
01081,"Lee County, Alabama",69436,14171,6949,3677,10.0,62487,10494
01083,"Limestone County, Alabama",40953,4341,3620,1775,8.8,37333,2566
01085,"Lowndes County, Alabama",4284,1155,1237,767,28.9,3047,388
01087,"Macon County, Alabama",7237,1777,1745,900,24.1,5492,877
01089,"Madison County, Alabama",165031,17538,12536,5804,7.6,152495,11734
01091,"Marengo County, Alabama",7898,1972,1863,1095,23.6,6035,877
01093,"Marion County, Alabama",10614,2010,1841,1027,17.3,8773,983
01095,"Marshall County, Alabama",36459,5995,4512,2271,12.4,31947,3724
01097,"Mobile County, Alabama",161665,26891,27937,13540,17.3,133728,13351
01099,"Monroe County, Alabama",7363,1615,1030,575,14.0,6333,1040
01101,"Montgomery County, Alabama",91381,17792,18479,8754,20.2,72902,9038
01103,"Morgan County, Alabama",49040,6729,6004,3085,12.2,43036,3644
01105,"Perry County, Alabama",3440,830,1151,691,33.5,2289,139
01107,"Pickens County, Alabama",6764,1346,1253,805,18.5,5511,541
01109,"Pike County, Alabama",12484,2785,2135,1062,17.1,10349,1723
01111,"Randolph County, Alabama",9271,2058,1741,834,18.8,7530,1224
