Outcome,Experiment,Model,R2_Mean,R2_Std,RMSE_Mean,RMSE_Std,MAE_Mean,N_Samples,N_Features,Best_Params
Obesity Rate (%),3D AE + Controls (NO Spatial),RandomForest,0.580848483557636,0.07029056851612069,2.9828399513992956,0.5381729813169966,2.355173075042901,2168,8,"[{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 3, 'max_features': 'sqrt'}, {'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 3, 'max_features': 'sqrt'}, {'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 10, 'max_features': 'sqrt'}, {'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt'}, {'n_estimators': 100, 'max_depth': 6, 'min_samples_leaf': 5, 'max_features': 'sqrt'}]"
Obesity Rate (%),3D AE + Controls (NO Spatial),XGBoost,0.5860108276615564,0.06726173440010487,2.9638357272355274,0.5227564315126442,2.3418596195981283,2168,8,"[{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.7}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7}]"
Obesity Rate (%),3D AE + Controls + Spatial Lags,RandomForest,0.5644466911385475,0.07122712664328185,3.039256927826331,0.5425416018607782,2.3846050463706776,2168,11,"[{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 3, 'max_features': 'sqrt'}, {'n_estimators': 100, 'max_depth': 6, 'min_samples_leaf': 3, 'max_features': 0.5}, {'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt'}, {'n_estimators': 200, 'max_depth': 6, 'min_samples_leaf': 10, 'max_features': 'sqrt'}, {'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 'sqrt'}]"
Obesity Rate (%),3D AE + Controls + Spatial Lags,XGBoost,0.5783537508807737,0.06872638191770056,2.9881049874424073,0.5143103257802621,2.342831418069758,2168,11,"[{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.9}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.7}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.9}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7}]"
Diabetes Rate (%),3D AE + Controls (NO Spatial),RandomForest,0.7078679311812826,0.0783571959607837,1.1270223691486287,0.1405325055248184,0.8569007475223355,2168,8,"[{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 3, 'max_features': 'sqrt'}, {'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 0.5}, {'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.5}, {'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 0.5}, {'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 5, 'max_features': 0.5}]"
Diabetes Rate (%),3D AE + Controls (NO Spatial),XGBoost,0.7116652945720701,0.07744782393871487,1.1191280458377422,0.13101791020976594,0.8485709927130966,2168,8,"[{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.9}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.9}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.7}]"
Diabetes Rate (%),3D AE + Controls + Spatial Lags,RandomForest,0.7084383114121839,0.0819056665084125,1.1232700157296447,0.13968239448171713,0.84394467115565,2168,11,"[{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt'}, {'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 5, 'max_features': 0.5}, {'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.5}, {'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 0.5}, {'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 0.5}]"
Diabetes Rate (%),3D AE + Controls + Spatial Lags,XGBoost,0.7220732277033461,0.08259817408313228,1.0956564228929928,0.13659841802947312,0.8234979097444286,2168,11,"[{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.9}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.9}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.9}, {'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.7}]"
Medicare Cost Per Capita ($),3D AE + Controls (NO Spatial),RandomForest,0.24939968851165312,0.09234661485282881,1403.4219009423027,142.69613590579652,1091.4489402177555,2226,8,"[{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'sqrt'}, {'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 10, 'max_features': 'sqrt'}, {'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt'}, {'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt'}, {'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 'sqrt'}]"
Medicare Cost Per Capita ($),3D AE + Controls (NO Spatial),XGBoost,0.22880984669218965,0.10449403653500164,1418.5187190643394,115.4020502514946,1096.8145743044338,2226,8,"[{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.9}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.7}, {'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7}, {'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.9}, {'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.7}]"
